classes;matiere;date;trimestre;sur;coeff;note;eleve_id;prof_id;niveau;niveau_de_classe;note_ponderee
1A;Arabe;2023-11-16;Trimestre 1;20;2.0;;Jmb2Zp7OzViHfStfxbPZejJQGwNhalrYDPUL9ackCNk;t8jRAdLt_P0Ai2D2pyBamlLBFMnN_k9Od6ycTUB98oA;lycée;Première;nan
1A;Hist-Géo/EMC;2023-11-17;Trimestre 1;20;1.0;16.0;Jmb2Zp7OzViHfStfxbPZejJQGwNhalrYDPUL9ackCNk;MkTDEy0fzub_lzFNRBxLLG0sLd5mzSpMxX3wx8l6Guo;lycée;Première;16.0
1A;Français;2023-11-20;Trimestre 1;20;2.0;15.0;Jmb2Zp7OzViHfStfxbPZejJQGwNhalrYDPUL9ackCNk;0-qkoCBCeu1-A2WvQZEecuK98nvosoTdzUTdiI6lwDo;lycée;Première;30.0
1A;EPS;2023-11-23;Trimestre 1;20;1.0;18.0;Jmb2Zp7OzViHfStfxbPZejJQGwNhalrYDPUL9ackCNk;wLaK3adgNmfEbAcM2yKRxB2xzndhVK_T02g9h5H3Zo8;lycée;Première;18.0
1A;Anglais;2023-11-23;Trimestre 1;20;1.0;15.0;Jmb2Zp7OzViHfStfxbPZejJQGwNhalrYDPUL9ackCNk;X58dVOypPle6RruL80DrCLqnnP28AUXsT9dGfVW02c0;lycée;Première;15.0
1A;SPC;2023-11-27;Trimestre 1;20;2.0;;Jmb2Zp7OzViHfStfxbPZejJQGwNhalrYDPUL9ackCNk;zalvxQljlC_iyENJQK4qClMhXqp3ZogCFPq9JR9Yalw;lycée;Première;nan
1A;Mathématiques;2023-11-28;Trimestre 1;30;1.0;21.0;Jmb2Zp7OzViHfStfxbPZejJQGwNhalrYDPUL9ackCNk;JumFXm1J2Jm1zAFbJ-KKVcMFxl2mfiu882gBggAozMg;lycée;Première;14.0
1A;Hist-Géo/EMC;2023-11-29;Trimestre 1;20;2.0;11.0;Jmb2Zp7OzViHfStfxbPZejJQGwNhalrYDPUL9ackCNk;MkTDEy0fzub_lzFNRBxLLG0sLd5mzSpMxX3wx8l6Guo;lycée;Première;22.0
1A;Espagnol;2023-11-30;Trimestre 1;20;2.0;16.0;Jmb2Zp7OzViHfStfxbPZejJQGwNhalrYDPUL9ackCNk;zNX9hPKSe5digzte7ULGxigOUJV9ZyU7xUZI2DFzIyM;lycée;Première;32.0
1A;SVT;2023-12-01;Trimestre 1;20;2.0;19.0;Jmb2Zp7OzViHfStfxbPZejJQGwNhalrYDPUL9ackCNk;7dLZyMhOF_FPmomOc2iu30jdKEJUFwLL3G2BAqLUUCc;lycée;Première;38.0
1A;SPC;2023-12-04;Trimestre 1;20;2.0;15.5;Jmb2Zp7OzViHfStfxbPZejJQGwNhalrYDPUL9ackCNk;aR5r7eJWG3uAF4iOt4zShmtqKpBy0liTVOxdOWKG6_c;lycée;Première;31.0
1A;Hist-Géo/EMC;2023-12-05;Trimestre 1;20;1.0;16.5;Jmb2Zp7OzViHfStfxbPZejJQGwNhalrYDPUL9ackCNk;MkTDEy0fzub_lzFNRBxLLG0sLd5mzSpMxX3wx8l6Guo;lycée;Première;16.5
1A;Français;2023-12-06;Trimestre 1;20;1.0;16.0;Jmb2Zp7OzViHfStfxbPZejJQGwNhalrYDPUL9ackCNk;0-qkoCBCeu1-A2WvQZEecuK98nvosoTdzUTdiI6lwDo;lycée;Première;16.0
1A;Français;2023-09-21;Trimestre 1;20;1.0;6.0;g34-PymcwTHigMQA-tcOWM7lTXmazA41KO7I5TfRLS4;0-qkoCBCeu1-A2WvQZEecuK98nvosoTdzUTdiI6lwDo;lycée;Première;6.0
1A;SPC;2023-09-25;Trimestre 1;20;0.5;13.0;g34-PymcwTHigMQA-tcOWM7lTXmazA41KO7I5TfRLS4;zalvxQljlC_iyENJQK4qClMhXqp3ZogCFPq9JR9Yalw;lycée;Première;6.5
1A;Mathématiques;2023-09-26;Trimestre 1;20;1.0;16.0;g34-PymcwTHigMQA-tcOWM7lTXmazA41KO7I5TfRLS4;JumFXm1J2Jm1zAFbJ-KKVcMFxl2mfiu882gBggAozMg;lycée;Première;16.0
1A;Hist-Géo/EMC;2023-09-27;Trimestre 1;10;1.0;6.5;g34-PymcwTHigMQA-tcOWM7lTXmazA41KO7I5TfRLS4;MkTDEy0fzub_lzFNRBxLLG0sLd5mzSpMxX3wx8l6Guo;lycée;Première;13.0
1A;Arabe;2023-10-04;Trimestre 1;20;2.0;;g34-PymcwTHigMQA-tcOWM7lTXmazA41KO7I5TfRLS4;t8jRAdLt_P0Ai2D2pyBamlLBFMnN_k9Od6ycTUB98oA;lycée;Première;nan
1A;SPC;2023-10-05;Trimestre 1;10;1.0;8.0;g34-PymcwTHigMQA-tcOWM7lTXmazA41KO7I5TfRLS4;aR5r7eJWG3uAF4iOt4zShmtqKpBy0liTVOxdOWKG6_c;lycée;Première;16.0
1A;SPC;2023-10-05;Trimestre 1;10;1.0;5.25;g34-PymcwTHigMQA-tcOWM7lTXmazA41KO7I5TfRLS4;aR5r7eJWG3uAF4iOt4zShmtqKpBy0liTVOxdOWKG6_c;lycée;Première;10.5
1A;Hist-Géo/EMC;2023-10-09;Trimestre 1;20;2.0;14.0;g34-PymcwTHigMQA-tcOWM7lTXmazA41KO7I5TfRLS4;MkTDEy0fzub_lzFNRBxLLG0sLd5mzSpMxX3wx8l6Guo;lycée;Première;28.0
1A;Espagnol;2023-10-10;Trimestre 1;10;1.0;9.0;g34-PymcwTHigMQA-tcOWM7lTXmazA41KO7I5TfRLS4;zNX9hPKSe5digzte7ULGxigOUJV9ZyU7xUZI2DFzIyM;lycée;Première;18.0
1A;Espagnol;2023-10-12;Trimestre 1;20;1.0;17.0;g34-PymcwTHigMQA-tcOWM7lTXmazA41KO7I5TfRLS4;zNX9hPKSe5digzte7ULGxigOUJV9ZyU7xUZI2DFzIyM;lycée;Première;17.0
1A;Mathématiques;2023-10-17;Trimestre 1;20;1.0;8.0;g34-PymcwTHigMQA-tcOWM7lTXmazA41KO7I5TfRLS4;JumFXm1J2Jm1zAFbJ-KKVcMFxl2mfiu882gBggAozMg;lycée;Première;8.0
1A;SPC;2023-10-18;Trimestre 1;20;2.0;8.5;g34-PymcwTHigMQA-tcOWM7lTXmazA41KO7I5TfRLS4;aR5r7eJWG3uAF4iOt4zShmtqKpBy0liTVOxdOWKG6_c;lycée;Première;17.0
1A;Hist-Géo/EMC;2023-11-03;Trimestre 1;5;1.0;1.5;g34-PymcwTHigMQA-tcOWM7lTXmazA41KO7I5TfRLS4;MkTDEy0fzub_lzFNRBxLLG0sLd5mzSpMxX3wx8l6Guo;lycée;Première;6.0
1A;SVT;2023-11-07;Trimestre 1;20;2.0;12.0;g34-PymcwTHigMQA-tcOWM7lTXmazA41KO7I5TfRLS4;7dLZyMhOF_FPmomOc2iu30jdKEJUFwLL3G2BAqLUUCc;lycée;Première;24.0
1A;Anglais;2023-11-07;Trimestre 1;20;1.0;12.0;g34-PymcwTHigMQA-tcOWM7lTXmazA41KO7I5TfRLS4;X58dVOypPle6RruL80DrCLqnnP28AUXsT9dGfVW02c0;lycée;Première;12.0
1A;SPC;2023-11-13;Trimestre 1;20;1.0;14.5;g34-PymcwTHigMQA-tcOWM7lTXmazA41KO7I5TfRLS4;zalvxQljlC_iyENJQK4qClMhXqp3ZogCFPq9JR9Yalw;lycée;Première;14.5
1A;Arabe;2023-11-16;Trimestre 1;20;1.0;;g34-PymcwTHigMQA-tcOWM7lTXmazA41KO7I5TfRLS4;t8jRAdLt_P0Ai2D2pyBamlLBFMnN_k9Od6ycTUB98oA;lycée;Première;nan
1A;Arabe;2023-11-16;Trimestre 1;20;2.0;;g34-PymcwTHigMQA-tcOWM7lTXmazA41KO7I5TfRLS4;t8jRAdLt_P0Ai2D2pyBamlLBFMnN_k9Od6ycTUB98oA;lycée;Première;nan
1A;Hist-Géo/EMC;2023-11-17;Trimestre 1;20;1.0;8.0;g34-PymcwTHigMQA-tcOWM7lTXmazA41KO7I5TfRLS4;MkTDEy0fzub_lzFNRBxLLG0sLd5mzSpMxX3wx8l6Guo;lycée;Première;8.0
1A;Français;2023-11-20;Trimestre 1;20;2.0;5.0;g34-PymcwTHigMQA-tcOWM7lTXmazA41KO7I5TfRLS4;0-qkoCBCeu1-A2WvQZEecuK98nvosoTdzUTdiI6lwDo;lycée;Première;10.0
1A;EPS;2023-11-23;Trimestre 1;20;1.0;16.0;g34-PymcwTHigMQA-tcOWM7lTXmazA41KO7I5TfRLS4;wLaK3adgNmfEbAcM2yKRxB2xzndhVK_T02g9h5H3Zo8;lycée;Première;16.0
1A;Anglais;2023-11-23;Trimestre 1;20;1.0;14.0;g34-PymcwTHigMQA-tcOWM7lTXmazA41KO7I5TfRLS4;X58dVOypPle6RruL80DrCLqnnP28AUXsT9dGfVW02c0;lycée;Première;14.0
1A;Anglais;2023-11-26;Trimestre 1;20;2.0;12.0;g34-PymcwTHigMQA-tcOWM7lTXmazA41KO7I5TfRLS4;X58dVOypPle6RruL80DrCLqnnP28AUXsT9dGfVW02c0;lycée;Première;24.0
1A;SPC;2023-11-27;Trimestre 1;20;2.0;16.0;g34-PymcwTHigMQA-tcOWM7lTXmazA41KO7I5TfRLS4;zalvxQljlC_iyENJQK4qClMhXqp3ZogCFPq9JR9Yalw;lycée;Première;32.0
1A;Hist-Géo/EMC;2023-11-27;Trimestre 1;14;0.5;7.5;g34-PymcwTHigMQA-tcOWM7lTXmazA41KO7I5TfRLS4;MkTDEy0fzub_lzFNRBxLLG0sLd5mzSpMxX3wx8l6Guo;lycée;Première;5.357142857142857
1A;Mathématiques;2023-11-28;Trimestre 1;30;1.0;15.0;g34-PymcwTHigMQA-tcOWM7lTXmazA41KO7I5TfRLS4;JumFXm1J2Jm1zAFbJ-KKVcMFxl2mfiu882gBggAozMg;lycée;Première;10.0
1A;Hist-Géo/EMC;2023-11-29;Trimestre 1;20;2.0;9.0;g34-PymcwTHigMQA-tcOWM7lTXmazA41KO7I5TfRLS4;MkTDEy0fzub_lzFNRBxLLG0sLd5mzSpMxX3wx8l6Guo;lycée;Première;18.0
1A;Espagnol;2023-11-30;Trimestre 1;20;2.0;17.0;g34-PymcwTHigMQA-tcOWM7lTXmazA41KO7I5TfRLS4;zNX9hPKSe5digzte7ULGxigOUJV9ZyU7xUZI2DFzIyM;lycée;Première;34.0
1A;SVT;2023-12-01;Trimestre 1;20;2.0;13.0;g34-PymcwTHigMQA-tcOWM7lTXmazA41KO7I5TfRLS4;7dLZyMhOF_FPmomOc2iu30jdKEJUFwLL3G2BAqLUUCc;lycée;Première;26.0
1A;SPC;2023-12-04;Trimestre 1;20;2.0;10.0;g34-PymcwTHigMQA-tcOWM7lTXmazA41KO7I5TfRLS4;aR5r7eJWG3uAF4iOt4zShmtqKpBy0liTVOxdOWKG6_c;lycée;Première;20.0
1A;Hist-Géo/EMC;2023-12-05;Trimestre 1;20;1.0;15.0;g34-PymcwTHigMQA-tcOWM7lTXmazA41KO7I5TfRLS4;MkTDEy0fzub_lzFNRBxLLG0sLd5mzSpMxX3wx8l6Guo;lycée;Première;15.0
1A;Français;2023-12-06;Trimestre 1;20;1.0;7.0;g34-PymcwTHigMQA-tcOWM7lTXmazA41KO7I5TfRLS4;0-qkoCBCeu1-A2WvQZEecuK98nvosoTdzUTdiI6lwDo;lycée;Première;7.0
1A;Français;2023-09-21;Trimestre 1;20;1.0;19.0;L4QL8ltgetnUp0hCH1kvkkOXLhS4gL5w0theSjYVYc4;0-qkoCBCeu1-A2WvQZEecuK98nvosoTdzUTdiI6lwDo;lycée;Première;19.0
1A;SPC;2023-09-25;Trimestre 1;20;0.5;13.0;L4QL8ltgetnUp0hCH1kvkkOXLhS4gL5w0theSjYVYc4;zalvxQljlC_iyENJQK4qClMhXqp3ZogCFPq9JR9Yalw;lycée;Première;6.5
1A;Mathématiques;2023-09-26;Trimestre 1;20;1.0;14.0;L4QL8ltgetnUp0hCH1kvkkOXLhS4gL5w0theSjYVYc4;JumFXm1J2Jm1zAFbJ-KKVcMFxl2mfiu882gBggAozMg;lycée;Première;14.0
1A;Hist-Géo/EMC;2023-09-27;Trimestre 1;10;1.0;4.5;L4QL8ltgetnUp0hCH1kvkkOXLhS4gL5w0theSjYVYc4;MkTDEy0fzub_lzFNRBxLLG0sLd5mzSpMxX3wx8l6Guo;lycée;Première;9.0
1A;Arabe;2023-10-04;Trimestre 1;20;2.0;17.0;L4QL8ltgetnUp0hCH1kvkkOXLhS4gL5w0theSjYVYc4;t8jRAdLt_P0Ai2D2pyBamlLBFMnN_k9Od6ycTUB98oA;lycée;Première;34.0
1A;SPC;2023-10-05;Trimestre 1;10;1.0;7.25;L4QL8ltgetnUp0hCH1kvkkOXLhS4gL5w0theSjYVYc4;aR5r7eJWG3uAF4iOt4zShmtqKpBy0liTVOxdOWKG6_c;lycée;Première;14.5
1A;SPC;2023-10-05;Trimestre 1;10;1.0;8.5;L4QL8ltgetnUp0hCH1kvkkOXLhS4gL5w0theSjYVYc4;aR5r7eJWG3uAF4iOt4zShmtqKpBy0liTVOxdOWKG6_c;lycée;Première;17.0
1A;Hist-Géo/EMC;2023-10-09;Trimestre 1;20;2.0;18.0;L4QL8ltgetnUp0hCH1kvkkOXLhS4gL5w0theSjYVYc4;MkTDEy0fzub_lzFNRBxLLG0sLd5mzSpMxX3wx8l6Guo;lycée;Première;36.0
1A;Espagnol;2023-10-10;Trimestre 1;10;1.0;10.0;L4QL8ltgetnUp0hCH1kvkkOXLhS4gL5w0theSjYVYc4;zNX9hPKSe5digzte7ULGxigOUJV9ZyU7xUZI2DFzIyM;lycée;Première;20.0
